id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1265302792106848256,1265302792106848256,1590506668000,2020-05-26,23:24:28,¢Dx¢D_?D¡PCRE?!,1039616680392048640,rushcill,RushU Center for Innovative & Lifelong Learning,,"ICYMI: #Cancer Care During #COVID-19 this afternoon 4:30 p.m. - 6:00 p.m. 

Free Registration: 
 https://us02web.zoom.us/webinar/register/WN_fONmoAenRuuhotg6EicKGA … pic.twitter.com/YuZtaRJraq",[],['https://us02web.zoom.us/webinar/register/WN_fONmoAenRuuhotg6EicKGA'],['https://pbs.twimg.com/media/EY9AhHQXYAUC_AR.jpg'],0,0,0,"['#cancer', '#covid']",[],https://twitter.com/RushCILL/status/1265302792106848256,False,,0,,,,,,,"[{'user_id': '1039616680392048640', 'username': 'RushCILL'}]",,,,
1265302683080167426,1265302683080167426,1590506642000,2020-05-26,23:24:02,¢Dx¢D_?D¡PCRE?!,1338650844,healthwatchbh,Healthwatch B&H,,"Free Cancer Webinar. Cancer services in Sussex during Covid-19: What this means for you. Join us Thursday 11th June 2020 5pm - 6pm to ask questions and hear advice from clinical experts. For more information and to register for the event, see poster @Mac_Horizon @BSUH_NHS pic.twitter.com/nuCWukAL4I","['mac_horizon', 'bsuh_nhs']",[],['https://pbs.twimg.com/media/EY9B6nvWsAEyVbJ.jpg'],0,0,0,[],[],https://twitter.com/HealthwatchBH/status/1265302683080167426,False,,0,,,,,,,"[{'user_id': '1338650844', 'username': 'HealthwatchBH'}, {'user_id': '3001201689', 'username': 'Mac_Horizon'}, {'user_id': '350836656', 'username': 'BSUH_NHS'}]",,,,
1265302507871444998,1264394565861232640,1590506600000,2020-05-26,23:23:20,¢Dx¢D_?D¡PCRE?!,3371739111,mrhunt79,Can't Go Camping 😞,,"I have friends who lost their grandmother to cancer. She wasn't sick at all, but the coroners report from Chicago reported her death was from ""Covid-19"".
This nonsense is happening everywhere.","['cwarrior17', 'kimonaq', 'dissention12', 'carpenoctem100', 'nytupelo7', 'scottpasmoretv']",[],[],1,0,0,[],[],https://twitter.com/mrhunt79/status/1265302507871444998,False,,0,,,,,,,"[{'user_id': '3371739111', 'username': 'mrhunt79'}, {'user_id': '1213519395776937984', 'username': 'CWarrior17'}, {'user_id': '1257117821793951746', 'username': 'KimonaQ'}, {'user_id': '1205131465320742917', 'username': 'Dissention12'}, {'user_id': '1097918989899104256', 'username': 'CarpeNoctem100'}, {'user_id': '38723680', 'username': 'NYTupelo7'}, {'user_id': '31526636', 'username': 'scottpasmoretv'}]",,,,
1265302414577500162,1265302414577500162,1590506578000,2020-05-26,23:22:58,¢Dx¢D_?D¡PCRE?!,1622859343,butchbrobst15,Loving Tiger,,"""Cancer has not taken a vacation"": How cancer hospitals fight COVID-19  https://www.nbcnews.com/health/cancer/cancer-hospitals-memorial-sloan-kettering-fight-cancer-coronavirus-same-time-n1214486 … via @nbcnews",['nbcnews'],['https://www.nbcnews.com/health/cancer/cancer-hospitals-memorial-sloan-kettering-fight-cancer-coronavirus-same-time-n1214486'],[],0,0,0,[],[],https://twitter.com/ButchBrobst15/status/1265302414577500162,False,,0,,,,,,,"[{'user_id': '1622859343', 'username': 'ButchBrobst15'}, {'user_id': '14173315', 'username': 'NBCNews'}]",,,,
1265301691043381248,1265301691043381248,1590506405000,2020-05-26,23:20:05,¢Dx¢D_?D¡PCRE?!,75077266,zurickdavis,ZurickDavis,,#Telemedicine for cancer patients during #COVID-19 #pandemic: between threats and opportunities   https://www.futuremedicine.com/doi/10.2217/fon-2020-0324?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub%3Dwww.ncbi.nlm.nih.gov& …  via @ZurickDavis #leadership pic.twitter.com/PrDaWHPEsJ,['zurickdavis'],['https://www.futuremedicine.com/doi/10.2217/fon-2020-0324?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub%3Dwww.ncbi.nlm.nih.gov&'],['https://pbs.twimg.com/media/EY9BLrXWkAAPyQk.jpg'],0,0,0,"['#telemedicine', '#covid', '#pandemic', '#leadership']",[],https://twitter.com/ZurickDavis/status/1265301691043381248,False,,0,,,,,,,"[{'user_id': '75077266', 'username': 'ZurickDavis'}]",,,,
1265301466329292802,1265301466329292802,1590506352000,2020-05-26,23:19:12,¢Dx¢D_?D¡PCRE?!,556053275,boobstagramm,boobstagramm,,Mindful Adaptation of Breast Cancer Treatment Necessary Amid COVID-19 Crisis - OncLive  https://ift.tt/3d0exWH ,[],['https://ift.tt/3d0exWH'],[],0,0,0,[],[],https://twitter.com/boobstagramm/status/1265301466329292802,False,,0,,,,,,,"[{'user_id': '556053275', 'username': 'boobstagramm'}]",,,,
1265301279095611392,1265301279095611392,1590506307000,2020-05-26,23:18:27,¢Dx¢D_?D¡PCRE?!,297423662,aposhq,APOS,,"Happy #APOSResearchTuesday! Relevant to the current pandemic, Cancer patients in COVID-19 era: swimming against the tide. 
 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7129219/pdf/main.pdf …
#psychosocialoncology #cancer #cancercaregivers #psyhologist #psychiatrist #APOSTogetherWhileApart #stressmanagementtools pic.twitter.com/cOR5F14rlw",[],['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7129219/pdf/main.pdf'],['https://pbs.twimg.com/media/EY9Ajq5XsAIT7No.jpg'],0,0,0,"['#aposresearchtuesday', '#psychosocialoncology', '#cancer', '#cancercaregivers', '#psyhologist', '#psychiatrist', '#apostogetherwhileapart', '#stressmanagementtools']",[],https://twitter.com/APOSHQ/status/1265301279095611392,False,,0,,,,,,,"[{'user_id': '297423662', 'username': 'APOSHQ'}]",,,,
1265300944113238016,1265207019189014530,1590506227000,2020-05-26,23:17:07,¢Dx¢D_?D¡PCRE?!,925642826129567744,lhm_molefe,Lehlohonolo Molefe,,"The death evidence has also left much to be desired. Especially when people with stage 4 cancer are said to have died from COVID-19. The Minister is on record saying even when the death is due to other underlying causes, it's anointed COVID-19.","['lawsh_mm', 'motsebore_l', 'siyamzimbawama1', 'drzwelimkhize']",[],[],1,0,0,[],[],https://twitter.com/LHM_Molefe/status/1265300944113238016,False,,0,,,,,,,"[{'user_id': '925642826129567744', 'username': 'LHM_Molefe'}, {'user_id': '1070387372070789120', 'username': 'LawSh_MM'}, {'user_id': '3089717255', 'username': 'motsebore_l'}, {'user_id': '1248958238646820864', 'username': 'SiyaMzimbawama1'}, {'user_id': '844486678324658176', 'username': 'DrZweliMkhize'}]",,,,
1265300758649602048,1265270712543121408,1590506183000,2020-05-26,23:16:23,¢Dx¢D_?D¡PCRE?!,828902496244490240,remainingareal1,Remainingarealist,,Well my uncle died of cancer which went down as Covid-19. Another weird thing. But no. The witch hunt has been ongoing for years now. Why no reports on other breaking lockdown... Because the media has no interest in these. It's the Brexit mastermind they want.. Wake up.,"['swimming1111', 'tlewis50567974', 'lady__seraphina', 'bbcandrewkerr', 'jackson_carlaw']",[],[],1,0,0,[],[],https://twitter.com/Remainingareal1/status/1265300758649602048,False,,0,,,,,,,"[{'user_id': '828902496244490240', 'username': 'Remainingareal1'}, {'user_id': '1263045570354184192', 'username': 'Swimming1111'}, {'user_id': '1252539772138110977', 'username': 'TLewis50567974'}, {'user_id': '558759113', 'username': 'Lady__Seraphina'}, {'user_id': '90628610', 'username': 'BBCandrewkerr'}, {'user_id': '366057802', 'username': 'Jackson_Carlaw'}]",,,,
1265300680547459079,1265300680547459079,1590506165000,2020-05-26,23:16:05,¢Dx¢D_?D¡PCRE?!,537595598,guyguy60,GUY BOCIAN,,Fauci: 'Dying cancer victims should just be glad they didn't get COVID-19 with a 99.8% cure rate'  https://genesiustimes.com/fauci-dying-cancer-victims-should-just-be-glad-they-didnt-get-covid-19-with-a-99-8-cure-rate/#.Xs0yrLW6cSA.twitter …,[],['https://genesiustimes.com/fauci-dying-cancer-victims-should-just-be-glad-they-didnt-get-covid-19-with-a-99-8-cure-rate/#.Xs0yrLW6cSA.twitter'],[],0,0,0,[],[],https://twitter.com/GuyGuy60/status/1265300680547459079,False,,0,,,,,,,"[{'user_id': '537595598', 'username': 'GuyGuy60'}]",,,,
